id,dialogueText,choice1,choice2,choice3,choice4,Speaker,TimeLimit
1,Walking out of their sociology class one of Trotsuki's classmates heard her impassioned speech on the benefits of communismCOMMA and wants to know more,You have nothing to lose but your chains,Everyone should embrace communism,Communism deprives man of the power to subjugate the labour of others,Then the world will be for the common peopleCOMMA and all will be happy,Narrator,15
2,Hahaha hey there.,:),8^),;),}= 0,Kerensuki,7
3,How rudeCOMMA but I guess the head of an underground organization wouldn't know any better.,Better to be underground than corrupt,The Duma used to be underground too,Despots don't like when the people challenge their power,...,Kerensuki,20
4,My name is Arek KerensukiCOMMA the greatest best new treasurer anyone has ever seen!,*under breath* as if capitalist swine would know good economics,A good treasurer would be a socialist,You? PFFFFT!!!,...,Kerensuki,15
5,Speaking of new government members.,...,...,...,...,Kerensuki,7
6,Ok.,Great,Great,Great,Great,Kerensuki,300
7,*Yahallo Intensifies*,*take a step back*,This is too much power!,We should stop Yahalloing before we destroy the continuity,Kerensuki I'm scared...,Kerensuki,15
8,Um… Sorry I won't do that again.,Ok,Ok,Ok,Ok,Kerensuki,10
9,How rudeCOMMA but I guess the head of an underground organization wouldn't know any better.,Better to be underground than corrupt,The Duma used to be underground too,Despots don't like when the people challenge their power,...,Kerensuki,20
10,As the better person I will turn the other cheek and give you a chance to rectify your behaviour.,*Death Stare*,Reactionaries like you are worse people in every regard,FineCOMMA truce,...,Kerensuki,15
11,Have you heard? Nico got ousted. Georgia's running the Duma now.,Different face same policies.,that's worseCOMMA Nico at least never pretended to represent the people,Good Riddance,Nico needs to Nico Nico Neck herself,Kerensuki,15
12,So uh... Hey have you heard? Nico's been ousted. Georgia's running the Duma now.,Different face same policies.,that's worseCOMMA Nico at least never pretended to represent the people,Good Riddance,Nico needs to Nico Nico Neck herself,Kerensuki,15
13,Not soCOMMA Georgia isn't as wealthy as Nico wasCOMMA but she at least is leaning towards the right direction.,Communism is the right direction,IncorrectCOMMA she has no intention of implementing socialism,We'll see...,Give it time,Kerensuki,15
14,Georgia is far from the best choiceCOMMA but she at least opens the gates away from permanent Nico Hedgemony.,The only permanent thing is the permanent revolution,In order to replace it with a hedgemony of her own making!,A right choice would have been one of us socialists,Does it really matter who the head is if nothing changes for the people,Kerensuki,15
15,True thatCOMMA if only they chose her sucessor better.,And chose a member of the Mensheviks,Somebody from the Mensheviks would have been a good choice,The Mensheviks have a multitude of good sucessor options,Her family has a bad reputationCOMMA they musn't have been thinking,Kerensuki,20
16,If she didn't leave I would have broken her Nico Nico kNeecaps.,Nico Nico Shut Up,I'll have you know I graduated top of my class in the Nico SealsCOMMA and I've been...,Silence fool,Hush before I make your brains mush,Kerensuki,15
17,*cough* regardlessCOMMA It would have been better if they had more sense and appointed somebody more qualified as president…,...,...,...,...,Kerensuki,7
18,somebody like me. RicherCOMMA prettierCOMMA smarterCOMMA and with a better vision for the future of this university.,The Mensheviks have a better vision for the university,Why would anyone let a brat like you be in charge,Being rich is only proof that you are counter-revolutionary,Says who,Kerensuki,20
19,Your Mensheviks are going to bring this great land nothing but ruin and pain for the people if you ever gain power.,Says the evil capitalist,As if you would know what pain and ruin are,Rightous power is earned through blood instead of a gift from corrupt fools,Our land is anything but great under the current system,Kerensuki,20
20,A BRAT??? EXCUSE YOU?!?!?!? AS IF SOMEBODY AS PETTY AS YOU HAS ANY RIGHT TO JUDGE ME!!!,petty?,excuse me?,I HAVE THE RIGHT TO JUDGE YOU AS I PLEASE!,...,Kerensuki,15
21,YES PETTY! We go out of our way to let you and your precious Renin back in the academy and then you go and bite my head off when I try to start up a friendly conversation.,Renin is back too!?,Renin is back too!?,Renin is back too!?,Renin is back too!?,Kerensuki,15
22,YOU HEARD WHAT I SAID! We go out of our way to let you and your precious Renin back in the academy and then you go and bite my head off when I try to start up a friendly conversation!,Renin is back too!?,Renin is back too!?,Renin is back too!?,Renin is back too!?,Kerensuki,15
23,FINE!!! I GUESS WE'LL JUST TAKE BACK ALLOWING RENIN TO RETURN TO THIS FACILITY THEN!!! HOW'S THEM APPLES!?!?!?,Renin was allowed back?,Renin was allowed back?,Renin was allowed back?,Renin was allowed back?,Kerensuki,15
24,WE'RE TRYING VERY HARD TO FIX ALL OF NICO'S MISTAKESCOMMA WE EVEN GOT RID OF YOU AND RENIN'S SUSPENSIONS!!!,You let Renin back in too?,You let Renin back in too?,You let Renin back in too?,You let Renin back in too?,Kerensuki,15
25,YEAH! We bent over backwards when we let you all back in! We wouldn't be any better than Nico if we kept her suspension would we!,You're still a brat,Im sorry... Thank you very much Kerensuki,Guess not...,Thank you I guess...,Kerensuki,12
26,DummyCOMMA you need to learn how to talk to people who are trying to help you out.,Anyways... excuse meCOMMA I need to go do something,Well this has been fun KerensukiCOMMA but I need to curl my hair,Oops! Sorry I just remembered I have a bubble bath that I need to go attend,I forgot I have to go change my lightbulbsCOMMA they haven't changed out of their swimwear since this morning,Kerensuki,20
27,hmpf don't get so emotional... It's not like we did it for you or anything...,...,...,...,...,Kerensuki,7
